date,a2c,ppo,ddpg,td3,sac,mvo,twii,0050
2024-08-16,795791.9897369725,1010126.515900664,907785.9396577922,965176.0657979219,866662.1604870665,1072478.8485292413,1251799.6417289993,1359525.5907662718
2024-08-19,800238.155783263,1010407.9566022404,925562.1538494942,981845.7920767306,881585.272984693,1077992.070482162,1255177.125353827,1361378.8154609432
2024-08-20,800408.6793396879,1010719.5105263443,939731.2786566627,987845.1873289584,898697.0743254345,1082066.1740829702,1256267.5819442356,1362120.1505835555
2024-08-21,794779.6057002493,1009945.7281261559,939747.1516272437,981857.3209997653,894818.1880980536,1082798.3007830274,1245557.849827018,1347665.0205874895
2024-08-22,793427.0480230659,1009456.1503264542,940553.1408831489,984363.7959867953,895289.6026602305,1080980.3517718439,1240569.5141462348,1340622.7893701096
2024-08-23,788596.5312879856,1009163.0233264706,951449.9017969978,989531.9402739047,892551.6676248024,1086968.953577708,1241085.9713656688,1341364.0113808627
2024-08-26,788929.7967783802,1009654.5546965783,952713.4566027534,992295.9802175998,898137.9766496902,1088269.259400033,1245682.6703496561,1343587.9036368404
2024-08-27,791762.0106167101,1009340.8846257342,952022.2391154182,989344.2210852145,902240.0770162826,1094374.5735144995,1242595.4135842142,1337657.5619915198
2024-08-28,780659.43339643,1009623.9806269126,948158.9915587318,987337.4570623874,895179.3116182571,1092016.0551446476,1252994.352445678,1356560.476499541
2024-08-29,782727.2748782546,1008010.7005271289,981852.698952378,1010107.7065016269,905144.9208311324,1091327.1261100397,1243539.1705069125,1338028.229552826
2024-08-30,778780.5559667565,1007567.7659437954,966727.962870301,999767.7286764621,898393.082579663,1090180.0275789755,1247249.3265325658,1344329.2387594525
2024-09-02,797263.089580539,1010508.4315048268,968777.0556933295,998778.5559736728,903856.5398855712,1094272.0822888403,1245401.5233354757,1340622.7893701096
2024-09-03,791594.3541357717,1007507.0605450401,956377.381500901,988047.2805983066,898574.0482282735,1086545.6528430148,1237398.2414637147,1334692.4477247887
2024-09-04,754233.0286934425,991364.506684376,913662.883005799,943239.4223944186,854792.0415485494,1051935.6880508945,1181417.8232985546,1269458.9158499802
2024-09-05,764699.9317087667,996098.6376641267,913927.0517813575,940519.6264463901,851751.4258581366,1058468.406097822,1186736.6434656566,1277242.4821899722
2024-09-06,773565.1667412753,1001859.9057901856,884621.7589384925,933564.5143019198,866613.9657604272,1073034.2676009017,1200598.0664305543,1295404.0615753813
2024-09-09,760882.3820034348,996251.9835886884,873489.4175631416,918905.6332708835,852583.650247845,1064248.0468975287,1184312.9811702608,1275389.2574953008
2024-09-10,744032.0628997674,992274.1324380586,853381.3413969886,911272.5384832858,855749.4199908335,1054843.366000915,1179812.0034459655,1277613.1497512783
2024-09-11,742073.9668270128,991671.7032111273,867021.4265276801,919340.4624182223,848337.8306941552,1054348.18693779,1177959.1680455087,1273906.7003619354
2024-09-12,776975.0492474269,1010913.0819877428,880823.1891123664,936874.5543219089,878547.2890470797,1078940.72452127,1212811.770980049,1321719.8748620884
2024-09-13,784046.3033541543,1015889.9436230586,882502.3591429603,936672.089161539,873481.0554859402,1084399.2677313294,1218771.3219105965,1322461.0968728417
2024-09-16,807322.0322670767,1022399.5931654358,871492.1269957435,927032.5239302157,881467.4846286951,1092849.8039813829,1223836.3439948582,1325055.6566901254
2024-09-18,777454.9818499184,1013332.0081373064,846108.1064459693,906103.3222013949,867428.9838852476,1083715.150201757,1214245.0737737422,1318384.0930340514
2024-09-19,808870.2964217595,1029418.0106941571,873506.817091645,926432.8480879306,887944.8109356174,1100569.547769107,1234624.5128471605,1335433.6697355423
2024-09-20,805472.2425974774,1035229.8369246264,870674.9945589912,930219.1130606174,893672.1535321204,1110799.2531202948,1241162.6577691478,1352483.359548892
2024-09-23,815264.8162913669,1041073.0620637019,886387.5915724647,945026.778248453,900647.5182386287,1121245.8151326082,1248226.1209643232,1358413.7011942123
2024-09-24,833092.3381345512,1050124.7078044622,885828.7166296851,949230.7426725863,921709.2843427268,1125796.6958306213,1256417.6728794323,1371386.2740569129
2024-09-25,820505.7359482325,1052990.6710761404,892632.4411570441,959268.9068075656,924620.1381464998,1128423.432476069,1274891.1102298677,1391771.7456982995
2024-09-26,802193.7171973422,1048900.8121521515,885774.6980521095,963475.748814249,927976.4190241469,1126180.3469333728,1280335.9542725866,1403261.7614276346
2024-09-27,814129.2715063328,1049349.2592404087,888016.3913618934,960668.3986402988,926403.3212756327,1123496.602181842,1278318.3689097348,1400296.5340490448
2024-09-30,793328.2754038995,1023978.0409573761,867378.1540018928,935414.6489111423,893032.0827033115,1107538.0275974348,1244810.0206484431,1363602.7077169209
2024-10-01,787925.5006652985,1028273.5487378868,883560.0969321143,948752.7911345004,906045.9512884025,1107042.7759555331,1254099.4680632853,1361008.261011496
