date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050,a2c_D,ppo_D,ddpg_D,td3_D,sac_D
2024-11-08,1243412.9156947008,1427654.3845144045,1490405.8925704842,1627132.0385310538,1487269.3722786368,1065101.7586053025,1468844.6913566822,1319267.814410152,1475166.8569585173,1237902.3506692906,1426171.632284974,1262484.9862619748,1111543.9206912203,1517531.872151581
2024-11-11,1238939.9771266284,1424135.1426998265,1484838.9797979803,1622571.2198095184,1483058.684855907,1061155.8890259927,1465544.8672333113,1317909.5570840568,1475908.1920811292,1238160.9327147435,1422659.8229694928,1263455.6398695991,1111519.795878552,1511107.4993165869
2024-11-12,1208575.9186045888,1389955.6994573425,1445344.2780491519,1574839.855727333,1446950.2592935644,1035660.2303384426,1428429.534828322,1287222.9621627536,1438102.363065087,1215966.846474814,1388526.8801985236,1245431.0255829194,1089465.877691388,1471939.765878535
2024-11-13,1207047.2751059479,1383514.7874619092,1433367.6978280987,1561355.8174602767,1437559.3653438645,1047156.7513631901,1419743.4465472575,1280415.4849649249,1428836.2395917296,1215814.8994031434,1382104.7446373007,1246397.0946028973,1090879.905571255,1460340.0359774723
2024-11-14,1194526.4518971965,1374479.0759503208,1426710.4613705263,1552101.323021074,1430393.1309116583,1043556.4378675071,1412385.254049203,1272302.3697849007,1415863.666729029,1208141.975945965,1373034.471283538,1232868.9058746032,1076816.4245006233,1454347.2698324835
2024-11-15,1195443.7060524405,1375503.1971239853,1428015.9124746318,1552170.1270967058,1432967.8733939365,1030588.8916867767,1411840.3239821363,1273836.4260416524,1425871.1253249987,1206377.1799717797,1374061.6715714342,1236083.994038164,1076775.6518960265,1452691.403133961
2024-11-18,1191248.8819067294,1368258.128643682,1419850.651154522,1540853.2646106477,1424042.854962256,1019914.5450940111,1400778.9060299988,1262845.437514529,1405856.2081330596,1202500.4080620906,1366877.1689809822,1230299.5287808268,1077605.1203224089,1445202.8534176822
2024-11-19,1202897.977819783,1383572.7916259554,1437684.4185332675,1560024.246664357,1441225.9816237928,1031405.3496595535,1418130.7738881072,1279775.3011801064,1425129.7902023864,1215850.7421356856,1382138.8907456817,1245100.7574894542,1088257.4266269216,1461032.3815241174
2024-11-20,1194696.7547149912,1373147.1397969318,1424278.4393036372,1544952.5464315708,1428079.636545204,1033112.5527567017,1406885.2778721147,1270788.8799245171,1419199.448557066,1209605.4248960717,1371731.6614638318,1240919.4092974635,1083451.775413705,1447919.9704362666
2024-11-21,1186086.346736748,1360225.854896394,1408242.1509702941,1525508.9979464053,1413492.6277376814,1030241.9824177481,1392216.4424843153,1263356.31555197,1403632.4289889405,1206244.8617342245,1358806.1000298674,1234738.6738940752,1077709.861198485,1431094.7795099835
